"code_commune_INSEE","nom_commune","latitude","longitude","code_departement","code_region"
"01095","Nivigne et Suran",46.2750157946,5.41649423093,"01","84"
"01096","Chaveyriat",46.1991513767,5.0564069258,"01","84"
"01097","Chavornay",45.8824049535,5.72499814516,"01","84"
"01098","Chazey-Bons",45.7925770617,5.68477063188,"01","84"
"01099","Chazey-sur-Ain",45.8929448968,5.25528498524,"01","84"
"01100","Cheignieu-la-Balme",45.8227204334,5.6050023969,"01","84"
"01101","Chevillard",46.1103512578,5.58116056005,"01","84"
"01102","Chevroux",46.38249255,4.96288275972,"01","84"
"01103","Chevry",46.283152935,6.04707941462,"01","84"
"01104","Chézery-Forens",46.222573373,5.87248105275,"01","84"
"01105","Civrieux",45.922467454,4.88633786877,"01","84"
"01106","Cize",46.2003848172,5.45082526739,"01","84"
"01107","Cleyzieu",45.902146623,5.43272695486,"01","84"
"01108","Coligny",46.3866637865,5.3308227014,"01","84"
"01109","Collonges",46.1419227898,5.90040256654,"01","84"
"01110","Colomieu",45.7361469025,5.62670101041,"01","84"
"01111","Conand",45.8834810846,5.47541328981,"01","84"
"01112","Condamine",46.105831161,5.55568206762,"01","84"
"01113","Condeissiat",46.1538469834,5.08437171701,"01","84"
"01114","Confort",46.1543700156,5.83319395258,"01","84"
"01115","Confrançon",46.270304175,5.05775217893,"01","84"
"01116","Contrevoz",45.8009403071,5.62087768159,"01","84"
"01117","Conzieu",45.7253102173,5.60442351043,"01","84"
"01118","Corbonod",45.9659473187,5.78961970355,"01","84"
"01121","Corlier",46.0336885573,5.49635755029,"01","84"
"01122","Cormaranche-en-Bugey",45.9442772826,5.60860828487,"01","84"
"01123","Cormoranche-sur-Saône",46.2403530179,4.8276569593,"01","84"
"01124","Cormoz",46.4336632942,5.22181275755,"01","84"
"01125","Corveissiat",46.2505107235,5.47152467919,"01","84"
"01127","Courmangoux",46.3267864521,5.35558241812,"01","84"
"01128","Courtes",46.4570082032,5.11128546723,"01","84"
"01129","Crans",45.9663793103,5.19490390871,"01","84"
"01130","Cras-sur-Reyssouze",46.3130831891,5.17796707174,"01","84"
"01133","Cressin-Rochefort",45.7826434885,5.76546256637,"01","84"
"01134","Crottet",46.283072336,4.87747971182,"01","84"
"01135","Crozet",46.2915659686,5.99510417092,"01","84"
"01136","Cruzilles-lès-Mépillat",46.2220588715,4.8752193513,"01","84"
"01138","Culoz",45.8559966843,5.78398308932,"01","84"
"01139","Curciat-Dongalon",46.4885456881,5.16344336837,"01","84"
"01140","Curtafond",46.273150382,5.1020896267,"01","84"
"01141","Cuzieu",45.8200002803,5.6765554896,"01","84"
"01142","Dagneux",45.8531616918,5.07289166803,"01","84"
"01143","Divonne-les-Bains",46.3756333495,6.1158647611,"01","84"
"01144","Dommartin",46.33627762,4.99863894,"01","84"
"01145","Dompierre-sur-Veyle",46.0667883703,5.21665199666,"01","84"
"01146","Dompierre-sur-Chalaronne",46.1415406621,4.90141714714,"01","84"
"01147","Domsure",46.4244066427,5.29313479651,"01","84"
"01148","Dortan",46.3133221173,5.64146584117,"01","84"
"01149","Douvres",45.984297392,5.37106901673,"01","84"
"01150","Drom",46.2196603059,5.36799994918,"01","84"
"01151","Druillat",46.067579544,5.29361666429,"01","84"
"01152","Échallon",46.2271364137,5.73330448395,"01","84"
"01153","Échenevex",46.3160845207,6.01926187996,"01","84"
"01154","Étrez",46.3380891758,5.19286414645,"01","84"
"01155","Évosges",45.965147537,5.50283599885,"01","84"
"01156","Faramans",45.9104942091,5.1249258559,"01","84"
"01157","Fareins",46.020997974,4.7620080898,"01","84"
"01158","Farges",46.166230455,5.90019477201,"01","84"
"01159","Feillens",46.3365833672,4.88507050971,"01","84"
"01160","Ferney-Voltaire",46.2519789243,6.10826403805,"01","84"
"01162","Flaxieu",45.8113298005,5.74459048839,"01","84"
"01163","Foissiat",46.3784759782,5.18483641417,"01","84"
"01165","Francheleins",46.0735946256,4.81293575559,"01","84"
"01166","Frans",45.9939065077,4.78033196905,"01","84"
"01167","Garnerans",46.2136224825,4.82843188743,"01","84"
"01169","Genouilleux",46.1201611728,4.79288195016,"01","84"
"01170","Béard-Géovreissiat",46.1896733539,5.55139781353,"01","84"
"01171","Géovreisset",46.2508621615,5.61271973915,"01","84"
"01172","Germagnat",46.3054983344,5.45012798616,"01","84"
"01173","Gex",46.3471891747,6.04650555568,"01","84"
"01174","Giron",46.2227121191,5.78049809256,"01","84"
"01175","Gorrevod",46.414943437,4.95120595427,"01","84"
"01177","Grand-Corent",46.207387937,5.43318666027,"01","84"
"01179","Grièges",46.2633634407,4.84621318847,"01","84"
"01180","Grilly",46.3318810665,6.11366767978,"01","84"
"01181","Groissiat",46.2260039429,5.61095413441,"01","84"
"01183","Guéreins",46.106624674,4.78159420118,"01","84"
"01184","Hautecourt-Romanèche",46.1611241927,5.42944457639,"01","84"
"01185","Hauteville-Lompnes",45.9696520061,5.57627261783,"01","84"
"01186","Hostiaz",45.9061631889,5.54077986031,"01","84"
"01187","Haut Valromey",46.0317412192,5.70267027388,"01","84"
"01188","Illiat",46.1866986838,4.88840344003,"01","84"
"01189","Injoux-Génissiat",46.0497734524,5.75991363273,"01","84"
"01190","Innimond",45.7919647191,5.57389398559,"01","84"
"01191","Izenave",46.0381623415,5.52447901164,"01","84"
"01192","Izernore",46.2179780137,5.56258251719,"01","84"
"01193","Izieu",45.6557496407,5.63909140794,"01","84"
"01194","Jassans-Riottier",45.9777239103,4.75984637871,"01","84"
"01195","Jasseron",46.2150037064,5.31215372338,"01","84"
"01196","Jayat",46.3660828991,5.11429701617,"01","84"
"01197","Journans",46.1464982407,5.33452833151,"01","84"
"01198","Joyeux",45.9499899849,5.10261326872,"01","84"
"01199","Jujurieux",46.0497041467,5.41094771899,"01","84"
"01200","Labalme",46.0932491295,5.49438685213,"01","84"
"01202","Lagnieu",45.8917015798,5.32917518895,"01","84"
"01203","Laiz",46.2469919709,4.89933490972,"01","84"
"01204","Poizat-Lalleyriat",46.1479592076,5.71829194244,"01","84"
"01205","Lancrans",46.1323202721,5.84050985141,"01","84"
"01206","Lantenay",46.0544405897,5.54127421165,"01","84"
"01207","Lapeyrouse",45.9859131165,4.98196682865,"01","84"
"01208","Lavours",45.8108837933,5.77267317838,"01","84"
"01209","Léaz",46.1086518044,5.87649017888,"01","84"
"01210","Lélex",46.2855010936,5.92927713771,"01","84"
"01211","Lent",46.1160216305,5.20200684747,"01","84"
"01212","Lescheroux",46.4114892731,5.15107164478,"01","84"
"01213","Leyment",45.9269989549,5.2947657235,"01","84"
"01214","Leyssard",46.1624187428,5.47633297491,"01","84"
"01215","Lhôpital",46.0238143134,5.76236736492,"01","84"
"01216","Lhuis",45.7444141403,5.53602066955,"01","84"
"01218","Lochieu",45.9302479879,5.7413126836,"01","84"
"01219","Lompnas",45.8105943351,5.52320457866,"01","84"
"01221","Lompnieu",45.9690865613,5.65968816497,"01","84"
"01224","Loyettes",45.7921564114,5.21770971647,"01","84"
"01225","Lurcy",46.061730034,4.78075207026,"01","84"
"01227","Magnieu",45.7754050255,5.71540945601,"01","84"
"01228","Maillat",46.1201642836,5.52854394238,"01","84"
"01229","Malafretaz",46.3295545661,5.14386299599,"01","84"
"01230","Mantenay-Montlin",46.4302754511,5.10675899732,"01","84"
"01231","Manziat",46.3643830585,4.90242777155,"01","84"
"01232","Marboz",46.3434312497,5.24374534963,"01","84"
"01233","Marchamp",45.7738495266,5.54985181107,"01","84"
"01234","Marignieu",45.8010384947,5.71570352924,"01","84"
"01235","Marlieux",46.0549073186,5.0741150816,"01","84"
"01236","Marsonnas",46.3409117711,5.06434294764,"01","84"
"01237","Martignat",46.2030768095,5.61384033805,"01","84"
"01238","Massieux",45.9094016817,4.82779660051,"01","84"
"01239","Massignieu-de-Rives",45.7571503942,5.7620535823,"01","84"
"01240","Matafelon-Granges",46.2565319445,5.53958933702,"01","84"
"01241","Meillonnas",46.244997627,5.33594738489,"01","84"
"01242","Mérignat",46.0648564341,5.44210660051,"01","84"
"01243","Messimy-sur-Saône",46.0472670758,4.75935643933,"01","84"
"01244","Meximieux",45.9060530318,5.20404833653,"01","84"
"01245","Bohas-Meyriat-Rignat",46.1427060662,5.3780109646,"01","84"
"01246","Mézériat",46.2423102101,5.04725416984,"01","84"
"01247","Mijoux",46.3622451724,6.00902631941,"01","84"
"01248","Mionnay",45.8955939299,4.92416967439,"01","84"
"01249","Miribel",45.8442099203,4.94106746787,"01","84"
"01250","Misérieux",45.9762325343,4.81028471711,"01","84"
"01252","Mogneneins",46.1446696076,4.820110702,"01","84"
"01254","Montagnat",46.1686969123,5.27962107938,"01","84"
"01255","Montagnieu",45.799449019,5.46428608859,"01","84"
"01257","Montanges",46.17325293,5.79006091307,"01","84"
"01258","Montceaux",46.0962893261,4.80453564172,"01","84"
"01259","Montcet",46.219333227,5.11149132074,"01","84"
"01260","Montellier",45.9287482486,5.07092815964,"01","84"
"01261","Monthieux",45.9622791838,4.94555984534,"01","84"
"01262","Montluel",45.8909006209,5.01987566185,"01","84"
"01263","Montmerle-sur-Saône",46.0849573236,4.7608579486,"01","84"
"01264","Montracol",46.1867200301,5.11706011755,"01","84"
"01265","Montréal-la-Cluse",46.1795688194,5.59510550127,"01","84"
"01266","Montrevel-en-Bresse",46.3252811442,5.11295966315,"01","84"
"01267","Nurieux-Volognat",46.1830720992,5.51435812316,"01","84"
"01268","Murs-et-Gélignieux",45.6420014274,5.66039684889,"01","84"
"01269","Nantua",46.1537845403,5.61352793799,"01","84"
"01272","Neuville-les-Dames",46.1567753049,5.00942432434,"01","84"
"01273","Neuville-sur-Ain",46.0909654813,5.37349784691,"01","84"
"01274","Neyrolles",46.1342937114,5.63714517869,"01","84"
"01275","Neyron",45.8184192468,4.9309045685,"01","84"
"01276","Niévroz",45.8222941077,5.05949629195,"01","84"
"01277","Nivollet-Montgriffon",45.9999448244,5.45847815374,"01","84"
"01279","Oncieu",45.9651165469,5.47146617499,"01","84"
"01280","Ordonnaz",45.8339690378,5.5395794296,"01","84"
"01281","Ornex",46.2774557513,6.09454723599,"01","84"
"01282","Outriaz",46.067796636,5.55697547429,"01","84"
"01283","Oyonnax",46.2605435859,5.65344320923,"01","84"
"01284","Ozan",46.3867168877,4.91805840196,"01","84"
"01285","Parcieux",45.9184267932,4.82747423402,"01","84"
"01286","Parves et Nattages",45.7437340183,5.73800737134,"01","84"
"01288","Péron",46.1913554154,5.91968751164,"01","84"
"01289","Péronnas",46.1711903413,5.21802169564,"01","84"
"01290","Pérouges",45.8803945768,5.17955874977,"01","84"
"01291","Perrex",46.2465065604,4.97464940331,"01","84"
"01293","Peyriat",46.1498184067,5.50572312284,"01","84"
"01294","Peyrieu",45.6762428663,5.67912809192,"01","84"
"01295","Peyzieux-sur-Saône",46.1226331853,4.82243226719,"01","84"
"01296","Pirajoux",46.385801285,5.27417594024,"01","84"
"01297","Pizay",45.8928509581,5.08915465965,"01","84"
"01298","Plagne",46.1883038423,5.71763811249,"01","84"
"01299","Plantay",46.0230264227,5.08912046926,"01","84"
"01301","Polliat",46.2463108642,5.13794412439,"01","84"
"01302","Pollieu",45.7965373468,5.74794515549,"01","84"
"01303","Poncin",46.089530586,5.41681266947,"01","84"
"01304","Pont-d'Ain",46.0542077091,5.34703652618,"01","84"
"01305","Pont-de-Vaux",46.4422864477,4.92862459427,"01","84"
"01306","Pont-de-Veyle",46.2637215091,4.88186068102,"01","84"
"01307","Port",46.155963139,5.57615832883,"01","84"
"01308","Pougny",46.1450914685,5.95100479291,"01","84"
"01309","Pouillat",46.3219301481,5.42318000482,"01","84"
"01310","Prémeyzel",45.6806263123,5.64396081449,"01","84"
"01311","Prémillieu",45.876457149,5.56475010385,"01","84"
"01313","Prévessin-Moëns",46.25827228,6.07223251859,"01","84"
"01314","Priay",46.0197521486,5.28523353803,"01","84"
"01316","Pugieu",45.8176794806,5.64970405499,"01","84"
"01317","Ramasse",46.1905550894,5.35572056985,"01","84"
"01318","Rancé",45.9673905154,4.86343025951,"01","84"
"01319","Relevant",46.0843657897,4.94176845356,"01","84"
"01320","Replonges",46.3077356023,4.8746938271,"01","84"
